GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",3711,509,3243,489,280,154,2832,467,0,11,30,40,0,11,27,40,74,61,0,11,74,61,468,269,272,232,61,56,48,70,0,11,0,11,0,11,87,97,29,45,58,87
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",2176,354,1751,343,305,120,1326,325,0,11,0,11,0,11,0,11,120,93,0,11,120,93,425,258,108,93,306,261,0,11,0,11,0,11,11,19,0,11,0,11,0,11
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",1403,265,1335,260,656,131,442,180,0,11,174,111,0,11,0,11,63,52,2,5,61,52,68,45,20,18,23,30,0,11,0,11,0,11,25,26,0,11,0,11,0,11
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",3877,401,3612,389,2353,384,810,235,0,11,342,295,0,11,0,11,107,91,0,11,107,91,265,158,245,146,0,11,0,11,0,11,0,11,20,32,0,11,0,11,0,11
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",4551,611,4104,630,2885,555,438,141,7,12,391,207,0,11,0,11,383,287,0,11,383,287,447,257,256,155,0,11,0,11,0,11,0,11,191,230,0,11,0,11,0,11
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",4198,443,3908,438,3106,402,246,107,0,11,374,263,0,11,0,11,182,102,29,43,153,92,290,132,143,88,25,23,0,11,0,11,0,11,43,37,79,74,0,11,79,74
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",4476,419,4277,420,3188,340,513,201,0,11,342,239,0,11,103,118,131,104,3,6,128,104,199,113,169,106,22,35,0,11,0,11,0,11,8,14,0,11,0,11,0,11
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",7044,483,6724,500,5460,479,619,122,0,16,532,268,22,42,0,16,91,120,21,28,70,113,320,245,145,129,21,36,0,16,0,16,0,16,154,226,0,16,0,16,0,16
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",4195,328,4103,318,3228,351,414,215,0,11,219,104,0,11,10,17,232,130,0,11,232,130,92,67,90,66,2,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",2610,205,2473,213,1960,198,254,191,4,7,138,105,0,11,0,11,117,85,0,11,117,85,137,112,47,60,0,11,0,11,0,11,0,11,90,99,0,11,0,11,0,11
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",2450,427,2419,422,2021,384,248,142,0,11,56,45,0,11,0,11,94,77,0,11,94,77,31,38,31,38,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",5949,916,5500,927,2884,625,1120,358,0,16,876,472,3,37,0,16,617,436,193,326,424,284,449,282,80,75,131,200,0,16,0,16,0,16,144,119,94,115,21,31,73,112
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",3550,506,3171,461,1477,285,744,313,0,11,741,308,0,11,0,11,209,232,0,11,209,232,379,266,122,62,40,59,0,11,0,11,0,11,204,257,13,17,11,17,2,4
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",2545,273,2320,257,1422,217,489,193,25,29,288,212,0,11,0,11,96,65,0,11,96,65,225,103,154,92,11,18,0,11,0,11,0,11,20,28,40,51,0,11,40,51
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",1895,332,1684,313,688,175,978,302,0,11,15,23,0,11,0,11,3,7,3,7,0,11,211,156,23,25,6,10,0,11,0,11,0,11,50,37,132,136,132,136,0,11
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",3140,549,2531,467,213,106,2184,461,0,11,0,11,0,11,0,11,134,184,0,11,134,184,609,298,207,186,85,91,5,9,0,11,0,11,263,220,49,57,34,54,15,18
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",5194,521,4643,544,1076,229,2928,439,9,14,423,360,0,16,21,34,186,157,0,16,186,157,551,227,85,119,159,136,0,16,0,16,0,16,307,155,0,16,0,16,0,16
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",2550,309,2475,319,2190,286,133,150,0,11,116,145,0,11,0,11,36,50,0,11,36,50,75,56,75,56,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",3858,436,3422,398,2986,372,223,141,42,42,44,51,0,11,0,11,127,77,0,11,127,77,436,242,153,125,13,20,0,11,9,14,0,11,104,143,157,161,0,11,157,161
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",3439,325,3331,335,2797,327,189,104,17,22,15,18,0,11,0,11,313,201,0,11,313,201,108,87,108,87,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",6727,427,6547,421,6143,406,352,206,0,16,5,9,0,16,0,16,47,48,0,16,47,48,180,137,162,118,0,16,0,16,0,16,0,16,18,26,0,16,0,16,0,16
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",2621,21,2368,182,2103,264,104,124,0,11,112,125,0,11,0,11,49,43,0,11,49,43,253,177,253,177,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",2954,283,2743,286,2387,299,102,97,0,11,4,8,0,11,0,11,250,124,0,11,250,124,211,118,51,46,10,17,0,11,0,11,0,11,10,17,140,99,23,34,117,93
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",4921,319,4704,347,3401,383,844,223,0,11,302,216,0,11,0,11,157,113,0,11,157,113,217,163,126,143,0,11,0,11,0,11,0,11,91,132,0,11,0,11,0,11
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",2326,214,2189,211,1961,215,105,95,0,11,74,103,0,11,0,11,49,42,0,11,49,42,137,85,93,69,17,30,0,11,0,11,0,11,27,37,0,11,0,11,0,11
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",5217,347,4903,349,3733,406,206,141,49,61,732,167,0,16,0,16,183,146,0,16,183,146,314,197,252,168,47,75,0,16,15,25,0,16,0,16,0,16,0,16,0,16
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",2743,252,2626,239,2331,280,10,15,0,11,268,234,0,11,0,11,17,26,0,11,17,26,117,113,65,46,45,94,0,11,0,11,0,11,0,11,7,15,7,15,0,11
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",6924,374,6330,373,5079,476,66,68,0,16,803,334,66,84,90,96,226,203,131,177,95,100,594,296,511,277,3,6,0,16,0,16,0,16,0,16,80,87,47,70,33,48
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",2409,171,2155,228,1657,237,115,75,0,11,138,148,0,11,0,11,245,135,20,40,225,157,254,192,55,49,0,11,6,10,0,11,0,11,103,116,90,134,0,11,90,134
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",6761,522,6567,536,5442,525,205,189,0,16,795,215,0,16,0,16,125,150,0,16,125,150,194,143,126,116,0,16,38,62,0,16,0,16,30,50,0,16,0,16,0,16
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",9673,498,9078,498,7286,380,665,220,0,16,924,230,0,16,35,55,168,90,26,28,142,85,595,192,427,149,39,53,7,15,0,16,0,16,76,48,46,53,21,36,25,40
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",4287,124,3918,331,2429,317,666,343,0,11,698,285,0,11,0,11,125,99,0,11,125,99,369,308,50,54,30,50,0,11,0,11,0,11,47,41,242,303,0,11,242,303
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",2654,231,2570,230,1796,203,494,155,0,11,246,155,0,11,0,11,34,35,0,11,34,35,84,59,30,24,0,11,0,11,0,11,0,11,54,55,0,11,0,11,0,11
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",6610,455,6571,457,6146,464,197,182,10,16,154,114,0,16,0,16,64,98,0,16,64,98,39,47,11,16,0,16,0,16,0,16,0,16,28,44,0,16,0,16,0,16
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",2098,138,2044,140,1798,167,4,6,0,11,135,106,0,11,0,11,107,76,0,11,107,76,54,67,54,67,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",6148,377,6015,395,4951,493,542,395,0,16,328,152,0,16,0,16,194,130,0,16,194,130,133,117,77,64,0,16,0,16,0,16,0,16,0,16,56,98,0,16,56,98
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",7018,407,6617,484,5451,435,605,219,0,16,419,203,0,16,14,21,128,96,8,17,120,92,401,272,370,270,0,16,0,16,0,16,0,16,31,36,0,16,0,16,0,16
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",4386,251,4386,251,3964,235,137,96,0,11,145,109,0,11,0,11,140,111,0,11,140,111,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",2407,192,2249,201,1932,181,110,80,16,20,126,86,0,11,7,10,58,47,0,11,58,47,158,123,50,43,0,11,0,11,0,11,0,11,108,114,0,11,0,11,0,11
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",5449,184,5292,212,4438,373,95,142,0,16,533,293,0,16,0,16,226,135,0,16,226,135,157,165,93,153,14,22,0,16,0,16,0,16,29,45,21,34,21,34,0,16
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",4076,334,3971,336,2800,265,397,194,7,13,645,255,0,11,0,11,122,72,0,11,122,72,105,77,38,33,28,29,0,11,0,11,0,11,14,23,25,40,25,40,0,11
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",4191,381,3988,382,3596,353,191,89,0,11,78,79,0,11,0,11,123,82,0,11,123,82,203,138,122,97,0,11,0,11,0,11,0,11,39,53,42,47,0,11,42,47
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",5142,323,5112,325,4569,305,32,36,9,16,457,136,0,16,0,16,45,45,16,24,29,37,30,34,30,34,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",5727,449,5614,469,4939,518,190,104,0,16,304,174,0,16,0,16,181,151,0,16,181,151,113,141,113,141,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",6121,370,6010,397,5827,412,57,73,0,16,64,67,0,16,0,16,62,72,29,32,33,53,111,82,71,60,0,16,0,16,0,16,0,16,40,57,0,16,0,16,0,16
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",6416,266,6333,274,5726,306,287,177,0,16,152,86,0,16,0,16,168,126,0,16,168,126,83,60,69,55,0,16,0,16,0,16,0,16,2,6,12,20,0,16,12,20
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",3048,279,3048,279,2825,292,133,79,1,2,0,11,0,11,0,11,89,82,0,11,89,82,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014302,36001014302,"Census Tract 143.02, Albany County, New York",8458,418,8266,447,7647,448,30,30,0,16,466,156,0,16,0,16,123,138,0,16,123,138,192,150,173,149,0,16,0,16,0,16,0,16,19,30,0,16,0,16,0,16
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",4167,26,4123,46,4093,54,3,4,6,11,9,15,0,11,0,11,12,19,0,11,12,19,44,41,33,47,0,11,0,11,0,11,0,11,11,18,0,11,0,11,0,11
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",3266,14,3225,48,2961,147,222,126,0,11,0,11,0,11,0,11,42,62,0,11,42,62,41,45,41,45,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",2381,196,2369,195,2302,201,0,11,0,11,60,44,0,11,0,11,7,12,0,11,7,12,12,21,0,11,0,11,0,11,0,11,0,11,0,11,12,21,12,21,0,11
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",3573,197,3412,220,3304,237,0,11,0,11,20,34,0,11,0,11,88,73,0,11,88,73,161,112,124,98,0,11,0,11,0,11,0,11,10,16,27,45,27,45,0,11
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",2829,26,2716,76,2609,93,20,23,0,11,66,51,0,11,0,11,21,18,7,9,14,14,113,70,103,68,0,11,0,11,0,11,0,11,0,11,10,14,0,11,10,14
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",3450,260,3342,260,3094,271,68,54,0,11,157,92,0,11,0,11,23,32,0,11,23,32,108,80,48,42,16,24,0,11,10,16,0,11,1,3,33,35,0,11,33,35
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",8068,435,7863,466,7206,521,214,185,0,16,443,100,0,16,0,16,0,16,0,16,0,16,205,184,154,163,0,16,0,16,0,16,0,16,51,81,0,16,0,16,0,16
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",4133,357,3853,329,3278,277,357,117,3,6,181,103,0,11,0,11,34,28,13,17,21,22,280,124,98,46,12,11,0,11,4,10,0,11,134,80,32,45,32,45,0,11
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",4719,286,4562,291,3640,353,257,230,0,11,487,197,0,11,0,11,178,155,0,11,178,155,157,133,157,133,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014611,36001014611,"Census Tract 146.11, Albany County, New York",2162,166,2135,166,1868,159,11,14,10,20,145,84,0,11,0,11,101,92,1,2,100,92,27,29,2,5,15,25,0,11,0,11,0,11,10,13,0,11,0,11,0,11
1400000US36001014612,36001014612,"Census Tract 146.12, Albany County, New York",1742,154,1655,153,1543,126,11,17,0,11,59,71,4,8,0,11,38,38,0,11,38,38,87,56,53,48,9,11,0,11,6,8,0,11,19,14,0,11,0,11,0,11
1400000US36001014613,36001014613,"Census Tract 146.13, Albany County, New York",2955,231,2901,230,2760,230,44,68,0,11,0,11,0,11,0,11,97,72,0,11,97,72,54,53,11,18,12,19,0,11,0,11,0,11,31,46,0,11,0,11,0,11
1400000US36001014614,36001014614,"Census Tract 146.14, Albany County, New York",5443,336,5172,352,4225,411,225,216,0,16,646,270,0,16,0,16,76,64,21,33,55,52,271,294,96,152,20,30,0,16,0,16,0,16,155,238,0,16,0,16,0,16
1400000US36001014615,36001014615,"Census Tract 146.15, Albany County, New York",3073,291,2830,293,1807,232,218,142,0,11,805,234,0,11,0,11,0,11,0,11,0,11,243,168,108,81,110,148,0,11,0,11,0,11,11,19,14,21,14,21,0,11
1400000US36001014700,36001014700,"Census Tract 147, Albany County, New York",2818,136,2818,136,2787,136,15,15,6,10,6,9,0,11,0,11,4,6,0,11,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36001014801,36001014801,"Census Tract 148.01, Albany County, New York",2811,20,2760,48,2659,74,4,6,0,11,18,15,16,33,0,11,63,44,6,10,57,38,51,45,43,40,0,11,0,11,0,11,0,11,8,13,0,11,0,11,0,11
1400000US36001014802,36001014802,"Census Tract 148.02, Albany County, New York",1752,140,1714,142,1674,141,13,14,0,11,0,11,0,11,0,11,27,19,10,11,17,13,38,30,28,27,4,6,0,11,0,11,0,11,0,11,6,8,0,11,6,8
1400000US36001014803,36001014803,"Census Tract 148.03, Albany County, New York",3381,17,3268,99,3228,107,9,13,0,11,31,37,0,11,0,11,0,11,0,11,0,11,113,94,73,84,0,11,0,11,0,11,0,11,40,59,0,11,0,11,0,11
1400000US36003940200,36003940200,"Census Tract 9402, Allegany County, New York",2,4,2,4,1,2,0,11,0,11,0,11,0,11,0,11,1,2,0,11,1,2,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36003950100,36003950100,"Census Tract 9501, Allegany County, New York",2539,347,2502,350,2425,352,0,11,0,11,24,19,0,11,42,39,11,11,0,11,11,11,37,30,33,29,0,11,0,11,4,5,0,11,0,11,0,11,0,11,0,11
1400000US36003950300,36003950300,"Census Tract 9503, Allegany County, New York",4880,364,4785,358,4538,342,109,40,11,12,117,60,0,11,0,11,10,11,0,11,10,11,95,42,41,33,0,11,0,11,0,11,0,11,32,23,22,20,14,17,8,12
1400000US36003950400,36003950400,"Census Tract 9504, Allegany County, New York",3638,236,3580,231,3467,242,0,11,0,11,14,14,0,11,0,11,99,91,0,11,99,91,58,52,48,55,0,11,0,11,0,11,0,11,10,11,0,11,0,11,0,11
1400000US36003950500,36003950500,"Census Tract 9505, Allegany County, New York",3693,195,3653,195,3556,208,10,13,0,11,0,11,0,11,0,11,87,73,0,11,87,73,40,36,40,36,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36003950600,36003950600,"Census Tract 9506, Allegany County, New York",3714,247,3681,244,3505,241,58,24,6,9,19,23,0,11,0,11,93,70,0,11,93,70,33,24,13,20,6,11,2,5,0,11,0,11,12,16,0,11,0,11,0,11
1400000US36003950700,36003950700,"Census Tract 9507, Allegany County, New York",3420,283,3407,280,3307,278,23,28,47,42,0,11,0,11,2,4,28,23,0,11,28,23,13,20,8,19,0,11,0,11,0,11,0,11,5,8,0,11,0,11,0,11
1400000US36003950800,36003950800,"Census Tract 9508, Allegany County, New York",6178,197,5857,201,5158,224,391,109,21,21,233,79,0,16,18,20,36,22,0,16,36,22,321,75,183,62,27,23,0,16,0,16,0,16,88,46,23,20,11,15,12,17
1400000US36003950900,36003950900,"Census Tract 9509, Allegany County, New York",3652,242,3600,241,3578,242,2,4,0,11,20,28,0,11,0,11,0,11,0,11,0,11,52,39,43,37,2,4,0,11,0,11,0,11,7,15,0,11,0,11,0,11
1400000US36003951000,36003951000,"Census Tract 9510, Allegany County, New York",3212,257,3212,257,3197,255,0,11,0,11,8,12,7,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36003951100,36003951100,"Census Tract 9511, Allegany County, New York",3933,317,3891,317,3747,313,48,50,0,11,68,81,0,11,0,11,28,25,0,11,28,25,42,41,23,39,0,11,0,11,0,11,0,11,18,26,1,3,0,11,1,3
1400000US36003951200,36003951200,"Census Tract 9512, Allegany County, New York",4773,290,4755,288,4650,295,11,11,36,30,24,26,0,11,0,11,34,29,0,11,34,29,18,18,18,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36003951300,36003951300,"Census Tract 9513, Allegany County, New York",3766,251,3743,249,3656,240,0,11,7,14,23,29,0,11,0,11,57,31,0,11,57,31,23,20,21,19,0,11,0,11,0,11,0,11,2,3,0,11,0,11,0,11
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",7411,308,5040,302,536,153,4267,286,22,22,125,54,0,16,35,31,55,34,10,18,45,34,2371,261,928,173,242,80,0,16,0,16,0,16,1166,209,35,31,19,24,16,20
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5058,773,1130,250,39,61,933,318,0,16,158,120,0,16,0,16,0,16,0,16,0,16,3928,755,2626,715,300,246,0,16,0,16,0,16,742,397,260,200,0,16,260,200
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5944,502,1995,505,205,121,1701,500,0,16,33,37,0,16,0,16,56,56,0,16,56,56,3949,519,2411,468,261,170,30,35,21,35,0,16,1085,459,141,110,0,16,141,110
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",6115,536,2242,373,226,128,1899,406,0,16,0,16,0,16,117,122,0,16,0,16,0,16,3873,573,2459,557,421,190,0,16,11,18,0,16,872,399,110,90,41,51,69,73
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2817,307,1313,209,218,60,932,198,0,11,68,59,0,11,81,84,14,12,5,7,9,9,1504,221,301,120,122,73,0,11,10,16,0,11,968,170,103,82,93,79,10,16
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",9608,987,3781,854,132,98,3515,843,30,46,104,141,0,16,0,16,0,16,0,16,0,16,5827,1116,3212,896,985,610,231,212,0,16,0,16,1178,519,221,184,129,147,92,117
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4733,445,1883,393,11,15,1768,398,75,81,0,11,0,11,21,34,8,13,0,11,8,13,2850,453,618,257,147,103,55,71,0,11,0,11,1911,450,119,72,56,46,63,64
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",130,208,130,208,60,97,70,112,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5760,580,1343,211,141,88,1161,227,0,16,7,10,0,16,26,39,8,13,0,16,8,13,4417,598,756,290,207,131,27,41,46,73,14,24,3226,632,141,104,119,105,22,24
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",2958,315,901,268,0,11,878,246,0,11,0,11,0,11,23,33,0,11,0,11,0,11,2057,316,216,154,50,40,0,11,0,11,0,11,1723,353,68,55,58,56,10,17
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4538,460,1562,317,80,84,1460,287,22,35,0,11,0,11,0,11,0,11,0,11,0,11,2976,474,415,241,188,158,42,68,0,11,0,11,2243,502,88,84,88,84,0,11
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5423,487,3209,617,74,92,2882,479,0,16,40,67,0,16,0,16,213,260,0,16,213,260,2214,626,739,530,606,474,0,16,0,16,0,16,687,412,182,176,66,88,116,138
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1675,208,485,126,29,30,427,126,0,11,29,29,0,11,0,11,0,11,0,11,0,11,1190,191,326,145,113,75,0,11,0,11,0,11,644,256,107,87,0,11,107,87
